Cell_Name	clone.id	clone.status	patient	sampleType	stype	majorCluster	loc
PTC96-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
TTC94-20170411	CRC.P0411_C000026:1	NoClonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC17-20170411	CRC.P0411_C000027:1	NoClonal	P0411	TTC	CD8	CD8_C04-GZMK	T
NTC91-20170411	CRC.P0411_C000028:3	Clonal	P0411	NTC	CD8	CD8_C04-GZMK	N
PTC86-20170411	CRC.P0411_C000028:3	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
NTH36-20170411	CRC.P0411_C000030:1	NoClonal	P0411	NTH	CD4	CD4_C05-CXCR6	N
PTH90-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH87-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH128-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH24-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH50-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH99-20170411	CRC.P0411_C000031:9	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
NTC17-20170411	CRC.P0411_C000033:3	Clonal	P0411	NTC	CD8	CD8_C05-CD6	N
NTC43-20170411	CRC.P0411_C000033:3	Clonal	P0411	NTC	CD8	CD8_C05-CD6	N
NTC116-20170411	CRC.P0411_C000033:3	Clonal	P0411	NTC	CD8	CD8_C05-CD6	N
NTC1-20170411	CRC.P0411_C000034:4	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
NTC122-20170411	CRC.P0411_C000034:4	Clonal	P0411	NTC	CD8	CD8_C05-CD6	N
NTC51-20170411	CRC.P0411_C000034:4	Clonal	P0411	NTC	CD8	CD8_C05-CD6	N
NTC23-20170411	CRC.P0411_C000034:4	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
PTH119-20170411	CRC.P0411_C000036:1	NoClonal	P0411	PTH	CD4	CD4_C01-CCR7	P
PTR8-20170411	CRC.P0411_C000039:1	NoClonal	P0411	PTR	CD4	CD4_C10-FOXP3	P
PTR45-20170411	CRC.P0411_C000041:2	Clonal	P0411	PTR	CD4	CD4_C10-FOXP3	P
TTR22-20170411	CRC.P0411_C000041:2	Clonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
PTR56-20170411	CRC.P0411_C000042:1	NoClonal	P0411	PTR	CD4	CD4_C10-FOXP3	P
TTR63-20170411	CRC.P0411_C000044:1	NoClonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
NTC45-20170411	CRC.P0411_C000045:1	NoClonal	P0411	NTC	CD8	CD8_C05-CD6	N
PTH190-20170411	CRC.P0411_C000048:1	NoClonal	P0411	PTH	CD4	CD4_C02-ANXA1	P
TTR54-20170411	CRC.P0411_C000049:1	NoClonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
NTC20-20170411	CRC.P0411_C000050:1	NoClonal	P0411	NTC	CD8	CD8_C05-CD6	N
PTH147-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH62-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH114-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
